start,end,drawdown,start_fund,end_fund
2019-10-02,2019-10-12,-17.31539999999999,62.754200000000004,63.68460000000001
2019-11-13,2019-11-13,,200.55600000000004,200.55600000000004
2019-11-22,2019-12-07,-17.888800000000003,223.63710000000003,224.20150000000004
2019-12-12,2019-12-23,-11.737199999999973,233.47050000000002,233.09530000000007
2019-12-27,2020-01-06,-11.912299999999988,239.23530000000005,238.31030000000007
2020-03-13,2020-06-05,-149.3393000000002,901.248,938.4873999999999
2020-06-15,2020-06-19,-1.4593000000000984,961.0786999999998,962.0338999999998
2020-09-15,2020-09-26,-8.57809999999995,1484.6897,1484.8862
2020-10-05,2020-10-08,-2.093800000000101,1501.6810999999998,1503.1311999999998
2020-10-29,2020-11-06,-16.18209999999999,1556.2838999999997,1553.5869999999998
2021-05-19,2021-05-20,-4.38839999999982,4247.259000000001,4250.259000000001
2021-05-22,2021-05-24,-0.5821999999998297,4251.4687,4249.6963000000005
2021-06-09,2021-06-10,-1.0239000000001397,4293.868,4293.7914
2021-06-19,2021-08-10,-40.55605000000014,4307.6015,4307.200449999999
2021-09-24,2021-09-24,,4496.773949999999,4496.773949999999
2022-01-12,2022-01-15,-1.930899999999383,5049.489849999998,5049.102149999999
2022-01-26,2022-01-29,-2.7968000000000757,5066.4594499999985,5065.265449999999
2022-01-31,2022-02-01,-0.40899999999965075,5067.374049999999,5066.959749999999
2022-02-03,2022-02-04,-0.808100000000195,5067.116449999999,5067.405549999999
2022-02-07,2022-02-07,,5072.863649999999,5072.863649999999
2022-02-11,2022-02-11,,5078.7013499999985,5078.7013499999985
2022-02-18,2022-02-18,,5092.224549999999,5092.224549999999
2022-02-21,2022-02-26,-4.477399999999761,5094.153249999999,5094.23935
2022-02-28,2022-03-01,-3.553899999999885,5091.36035,5093.79725
2022-03-07,2022-03-07,,5103.23915,5103.23915
2022-03-11,2022-03-15,-3.695899999998801,5107.863450000001,5107.421050000002
2022-04-12,2022-04-16,-2.623199999999997,5169.808150000002,5170.988750000002
2022-04-18,2022-04-19,-2.5864000000001397,5170.458150000002,5171.580450000002
2022-04-22,2022-05-02,-8.957300000000032,5172.442950000002,5172.148050000001
2022-05-06,2022-05-07,-1.4997000000003027,5178.89875,5179.04255
2022-05-12,2022-05-15,-7.713300000000345,5180.33275,5185.8983499999995
2022-05-18,2022-05-18,,5188.69855,5188.69855
2022-05-24,2022-05-24,,5195.91255,5195.91255
2022-06-07,2022-06-07,,5222.817575,5222.817575
2022-06-14,2022-06-20,-3.265000000001237,5232.054175,5232.952074999999
2022-06-22,2022-06-23,-0.4444000000003143,5234.207174999999,5233.696674999998
2022-06-28,2022-06-28,,5241.795374999998,5241.795374999998
2022-06-30,2022-07-03,-3.445499999999811,5241.508174999998,5242.136574999999
2022-07-13,2022-07-13,,5261.698774999998,5261.698774999998
2022-08-15,2022-08-15,,5323.224875000002,5323.224875000002
2022-08-20,2022-09-09,-9.204099999999926,5326.931475000002,5327.920475000001
2022-09-14,2022-09-14,,5338.878475,5338.878475
2022-09-19,2022-09-19,,5343.677575000001,5343.677575000001
2022-09-22,2022-09-23,-1.0946999999996478,5345.061275000001,5345.582475000001
2022-10-27,2022-10-28,-0.08870000000024447,5406.570674999999,5406.539074999999
2022-11-09,2022-12-23,-39.18299999999908,5416.855675,5419.651674999999
2023-01-02,2023-01-02,,5435.504974999999,5435.504974999999
2023-03-10,2023-03-12,-1.2288999999991574,5596.055175000002,5596.367475000003
2023-04-04,2023-04-04,,5640.343975000002,5640.343975000002
2023-04-09,2023-04-09,,5642.575175000002,5642.575175000002
2023-05-01,2023-05-01,,5680.907175000003,5680.907175000003
2023-06-06,2023-06-06,,5744.179225000004,5744.179225000004
2023-07-15,2023-07-15,,5820.813025000007,5820.813025000007
2023-08-19,2023-08-25,-1.7107999999998356,5897.566725000007,5898.016425000007
2023-08-29,2023-08-29,,5899.893325000007,5899.893325000007
2023-09-08,2023-09-10,-0.6715000000003783,5908.057125000007,5908.239025000006
2023-09-14,2023-09-14,,5909.624625000007,5909.624625000007
2023-09-16,2023-09-22,-2.1518999999998414,5909.154325000007,5909.369725000007
2023-09-28,2023-10-02,-1.1624000000001615,5913.070925000008,5913.125125000008
2023-10-05,2023-10-07,-1.3195999999998094,5913.858725000007,5914.282425000008
2023-10-17,2023-10-22,-2.083400000000438,5924.395025000007,5924.060725000007
