exchange,max_drawdown_percent,overall_percent,drawdown_start,drawdown_end,buffer,asset
Binance,-1.8887254285714268,-1.550566000000031,2022-08-06,2022-10-08,0.3381594285713958,ETH
Bybit,-2.1869147142857135,-1.6478019999999982,2022-08-18,2022-11-18,0.5391127142857153,ETH
Deribit,-5.816507004736813,-5.642441661836988,2022-06-07,2022-12-02,0.17406534289982556,ETH
Okx,-5.186162776852381,-3.5844462045118894,2022-05-08,2022-12-28,1.6017165723404916,ETH
