exchange,max_drawdown_percent,overall_percent,drawdown_start,drawdown_end,buffer,asset
Binance,-1.645862,-1.3575790000000003,2020-03-10,2020-04-26,0.2882829999999996,BTC
Bybit,-1.8430561428571426,-1.5053710000000002,2020-03-29,2020-04-26,0.33768514285714235,BTC
Deribit,-1.8632203729459247,-1.8553605798089234,2022-11-06,2023-01-09,0.007859793137001247,BTC
Okx,-1.1063252387021558,-0.07789976872342452,2022-03-18,2022-07-18,1.0284254699787314,BTC
